train,test,phylum,rank,AUROC,AUPR
w_mcm,wo_mcm,Echinodermata,family,0.5222656536676097,0.19812588982440552
wo_mcm,w_mcm,Echinodermata,family,0.9823394588548688,0.9414690067528148
wo_mcm,wo_mcm,Echinodermata,family,0.9876672447822407,0.9407107970912175
wo_mcm,w_mcm,Chordata,family,0.9905975375394106,0.945846196498107
w_mcm,w_mcm,Mollusca,family,0.9253221495010453,0.7990054612551807
w_mcm,wo_mcm,Mollusca,family,0.5066145242804314,0.07167695677856928
w_mcm,w_mcm,Nematoda,family,0.9249478746868818,0.8190833007056979
w_mcm,wo_mcm,Nematoda,family,0.6731478562942517,0.31847427139829376
wo_mcm,w_mcm,Nematoda,family,0.9313142552007316,0.7842896542314421
wo_mcm,wo_mcm,Nematoda,family,0.9370038114061722,0.7764297981093862
w_mcm,w_mcm,Platyhelminthes,family,0.9845629845738826,0.9647914339201097
w_mcm,wo_mcm,Platyhelminthes,family,0.49733015998395214,0.17822948163448024
wo_mcm,w_mcm,Platyhelminthes,family,0.9913619028701854,0.9773853916581321
wo_mcm,wo_mcm,Platyhelminthes,family,0.9926623269717001,0.9654740440581457
wo_mcm,wo_mcm,Chordata,family,0.9890354615114906,0.9454106002219846
wo_mcm,w_mcm,Mollusca,family,0.969346757365753,0.8729346417942391
wo_mcm,wo_mcm,Mollusca,family,0.962539363052489,0.8755046931288468
w_mcm,wo_mcm,Annelida,genus,0.55181690962068,0.18250897342434236
w_mcm,w_mcm,Annelida,genus,0.9172606331212663,0.7892090334604244
wo_mcm,wo_mcm,Annelida,genus,0.9286377819762225,0.805820967407807
wo_mcm,w_mcm,Annelida,genus,0.9321183651090531,0.8088115188384235
wo_mcm,w_mcm,Arthropoda,genus,0.9736780360337142,0.8668405410565097
wo_mcm,wo_mcm,Arthropoda,genus,0.9705750060996949,0.8678295735935943
w_mcm,wo_mcm,Arthropoda,genus,0.5834197219842144,0.03481712811336845
w_mcm,w_mcm,Arthropoda,genus,0.938957049169342,0.8284759643024827
w_mcm,w_mcm,Chordata,genus,0.9348411410436358,0.846381310788888
w_mcm,wo_mcm,Chordata,genus,0.4994208467494022,0.035189425362375966
w_mcm,w_mcm,Cnidaria,genus,0.9489072474652557,0.8734172361746253
w_mcm,wo_mcm,Cnidaria,genus,0.5974088495972761,0.3528146903540061
wo_mcm,w_mcm,Cnidaria,genus,0.9479588496367415,0.8860789449831363
wo_mcm,wo_mcm,Cnidaria,genus,0.9391112407298954,0.8795165035748344
w_mcm,w_mcm,Echinodermata,genus,0.9633185471277983,0.9134582816312117
w_mcm,wo_mcm,Echinodermata,genus,0.5732022571587547,0.19244458221671795
wo_mcm,w_mcm,Echinodermata,genus,0.9471934266468554,0.9138751952829967
wo_mcm,wo_mcm,Echinodermata,genus,0.9520089528208937,0.9107183540336823
wo_mcm,w_mcm,Chordata,genus,0.9707606484816007,0.8971675183743466
w_mcm,w_mcm,Mollusca,genus,0.9063152394101259,0.7708892114782236
